StationId,StationName,City,State,Status
DL002,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,Active
DL004,"Aya Nagar, Delhi - IMD",Delhi,Delhi,Active
DL006,"Burari Crossing, Delhi - IMD",Delhi,Delhi,Inactive
DL007,"CRRI Mathura Road, Delhi - IMD",Delhi,Delhi,Active
DL008,"DTU, Delhi - CPCB",Delhi,Delhi,Active
DL011,"East Arjun Nagar, Delhi - CPCB",Delhi,Delhi,Active
DL012,"IGI Airport (T3), Delhi - IMD",Delhi,Delhi,Active
DL013,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,Delhi,Active
DL014,"ITO, Delhi - CPCB",Delhi,Delhi,Active
DL017,"Lodhi Road, Delhi - IMD",Delhi,Delhi,Active
DL019,"Mandir Marg, Delhi - DPCC",Delhi,Delhi,Active
DL021,"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,Active
DL025,"North Campus, DU, Delhi - IMD",Delhi,Delhi,Active
DL028,"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,Active
DL030,"Pusa, Delhi - IMD",Delhi,Delhi,Active
DL031,"R K Puram, Delhi - DPCC",Delhi,Delhi,Active
DL033,"Shadipur, Delhi - CPCB",Delhi,Delhi,Active
DL034,"Sirifort, Delhi - CPCB",Delhi,Delhi,Active
HR011,"NISE Gwal Pahari, Gurugram - IMD",Gurugram,Haryana,Active
HR014,"Vikas Sadan, Gurugram - HSPCB",Gurugram,Haryana,Active
PB001,"Golden Temple, Amritsar - PPCB",Amritsar,Punjab,Active
