StationId,Lon,Lat
DL002,28.650178748224057,77.30298603280016
DL004,28.472728140117436,77.13225234387538
DL006,28.728763404695854,77.1979486253256
DL007,28.5518645028018,77.2753817488482
DL008,28.75242802532747,77.12900419703733
DL011,28.65628161911563,77.29493102037013
DL012,28.5553005219338,77.08274925647073
DL013,28.68247137439418,77.30523446269741
DL014,28.62780886194389,77.2419507431685
DL017,28.591279247802277,77.2284975216323
DL019,28.634101825915632,77.20064116211785
DL021,28.610045834837692,77.03804847992711
DL025,28.68778568751121,77.21025751620866
DL028,28.66841357215632,77.13068262607194
DL030,28.629099991518533,77.15971213272532
DL031,28.568756058127228,77.17605324804144
DL033,28.65085685306853,77.15662318818416
DL034,28.551849514600963,77.21718458426542
HR011,28.42600,77.15000
HR014,28.45037847017265,77.02927700202049
PB001,31.62000,74.87651
